"Source1","Source2"
"Kew_Road-CM0895-26G/595-23-ODU-1(RTNRF-1)","Akbar_Ind-CM0743-26G/595-23-ODU-1(RTNRF-1)"
,
"Pasyala-GM0090-15G/531-23-ODU-1(RTNRF-1)","Arukgoda-GM0277-15G/531-23-ODU-1(RTNRF-1)"
,
"Damminna-PO0075-7G/725-23-ODU-1(RTNRF-1)","Sewanapitiya-PO0090-7G/725-23-ODU-1(RTNRF-1)"
,
"Achchuweli_Town-JA0191-26G/686-23-ODU-1(RTNRF-1)","Achchuweli-JA0017-26G/686-23-ODU-1(RTNRF-1)"
,
"Achchuweli_Town-JA0191-26G/686-24-ODU-1(RTNRF-1)","Achchuweli-JA0017-26G/686-24-ODU-1(RTNRF-1)"
,
"Ismailpuram-PU0105-15G/749-23-ODU-1(RTNRF-1)","Wanathawilluwa-PU0042-15G/749-23-ODU-1(RTNRF-1)"
,
"Kayts-JA0060-13G/872-23-ODU-1(RTNRF-1)","Punkuduthive-JA0021-13G/872-23-ODU-1(RTNRF-1)"
,
"Cyril_C_Perera_Mw-CM0302-26G/778-23-ODU-1(RTNRF-1)","Jethawana_Rd-CM1043-26G/778-23-ODU-1(RTNRF-1)"
,
"Cyril_C_Perera_Mw-CM0302-26G/778-24-ODU-1(RTNRF-1)","Jethawana_Rd-CM1043-26G/778-24-ODU-1(RTNRF-1)"
,
"Silavatturai-MA0018-11G/268-23-ODU-1(RTNRF-1)","Tambanaikulam-MA0036-11G/268-23-ODU-1(RTNRF-1)"
,
"Negombo-GM0037-18G/650-23-ODU-1(RTNRF-1)","Demanhandiya-GM0064-18G/650-23-ODU-1(RTNRF-1)"
,
"Negombo-GM0037-18G/650-24-ODU-1(RTNRF-1)","Demanhandiya-GM0064-18G/650-24-ODU-1(RTNRF-1)"
,
"Batti_Bar_Road-BA0066-18G/1710-23-ODU-1(RTNRF-1)","Nochchimunai_DBN-BA0020-18G/1710-23-ODU-1(RTNRF-1)"
,
"Batti_Bar_Road-BA0066-18G/1710-24-ODU-1(RTNRF-1)","Nochchimunai_DBN-BA0020-18G/1710-24-ODU-1(RTNRF-1)"
,
"Chilaw_North-PU0021-13G/757-23-ODU-1(RTNRF-1)","Kumarakattuwa-PU0054-13G/757-23-ODU-1(RTNRF-1)"
,
"Mallawapitiya-KU0059-13G/628-23-ODU-1(RTNRF-1)","Ibbagamuwa-KU0005-13G/628-23-ODU-1(RTNRF-1)"
,
"Mallawapitiya-KU0059-13G/628-25-ODU-1(RTNRF-1)","Ibbagamuwa-KU0005-13G/628-25-ODU-1(RTNRF-1)"
,
"Akkarapanaha_Etisalat-GM0444-23G/1516-23-ODU-1(RTNRF-1)","Katuwapitiya-GM0037-23G/1516-23-ODU-1(RTNRF-1)"
,
"Akkarapanaha_Etisalat-GM0444-23G/1516-24-ODU-1(RTNRF-1)","Katuwapitiya-GM0037-23G/1516-24-ODU-1(RTNRF-1)"
,
"Kannattiya-AN0219-18G/1720-23-ODU-1(RTNRF-1)","Mihinthale Dialog-AN0026-18G/1720-23-ODU-1(RTNRF-1)"
,
"Mirigama_DBN-GM0545-18G/1648-23-ODU-1(RTNRF-1)","Nawana-GM0203-18G/1648-23-ODU-1(RTNRF-1)"
,
"Galkulama-AN0023-18G/886-23-ODU-1(RTNRF-1)","Kuda_Kalattewa-AN0062-18G/886-23-ODU-1(RTNRF-1)"
,
"Galkulama-AN0023-18G/886-24-ODU-1(RTNRF-1)","Kuda_Kalattewa-AN0062-18G/886-24-ODU-1(RTNRF-1)"
,
"Nelliady-JA0103-18G/1471-23-ODU-1(RTNRF-1)","Puloli-JA0008-18G/1471-23-ODU-1(RTNRF-1)"
,
"Nelliady-JA0103-18G/1471-25-ODU-1(RTNRF-1)","Puloli-JA0008-18G/1471-25-ODU-1(RTNRF-1)"
,
"Ekala-GM0007-18G/1355-23-ODU-1(RTNRF-1)","Kotugoda-GM0147-18G/1355-23-ODU-1(RTNRF-1)"
,
"Ekala-GM0007-18G/1355-25-ODU-1(RTNRF-1)","Kotugoda-GM0147-18G/1355-25-ODU-1(RTNRF-1)"
,
"Nagavil-PU0062-18G/538-23-ODU-1(RTNRF-1)","Puludiwayali-PU0124-18G/538-23-ODU-1(RTNRF-1)"
,
"Nagavil-PU0062-18G/538-24-ODU-1(RTNRF-1)","Puludiwayali-PU0124-18G/538-24-ODU-1(RTNRF-1)"
,
"Chunnakam_DTP-JA0011-23G/593-23-ODU-1(RTNRF-1)","Kandarodai-JA0090-23G/593-23-ODU-1(RTNRF-1)"
,
"Kuchchiweli_Dialog-TR0020-7G/706-23-ODU-1(RTNRF-1)","Morawewa_Dialog-TR0024-7G/706-23-ODU-1(RTNRF-1)"
,
"Kuchchiweli_Dialog-TR0020-7G/706-24-ODU-1(RTNRF-1)","Morawewa_Dialog-TR0024-7G/706-24-ODU-1(RTNRF-1)"
,
"Chilaw_N-PU0021-18G/1561-23-ODU-1(RTNRF-1)","Ilippadeniya-PU0108-18G/1561-23-ODU-1(RTNRF-1)"
,
"Chilaw_N-PU0021-18G/1561-24-ODU-1(RTNRF-1)","Ilippadeniya-PU0108-18G/1561-24-ODU-1(RTNRF-1)"
,
"Maharaja HO-CM1279-26G/1227-23-ODU-1(RTNRF-1)","SLTA-CM0396-26G/1227-23-ODU-1(RTNRF-1)"
,
"Maharaja HO-CM1279-26G/1227-24-ODU-1(RTNRF-1)","SLTA-CM0396-26G/1227-24-ODU-1(RTNRF-1)"
,
"Kala_ Oya-AN0037-13G/965-23-ODU-1(RTNRF-1)","Saliya_Ashokapura-KU0331-13G/965-23-ODU-1(RTNRF-1)"
,
"Negombo_Sea_St-GM0471-26G/752-23-ODU-1(RTNRF-1)","Negombo_Town-GM0376-26G/752-23-ODU-1(RTNRF-1)"
,
"Negombo_Sea_St-GM0471-26G/752-24-ODU-1(RTNRF-1)","Negombo_Town-GM0376-26G/752-24-ODU-1(RTNRF-1)"
,
"Divlapitiya-GM0006-18G/1649-23-ODU-1(RTNRF-1)","Galewatta-GM0271-18G/1649-23-ODU-1(RTNRF-1)"
,
"KIRBTGDA_SCHM-GM0602-26G/1553-HY-23-ODU-1(RTNRF-1)","KIRBTGDA_TWN-GM0163-26G/1553-HY-23-ODU-1(RTNRF-1)"
,
"Barandana-KU0088-13G/835-23-ODU-1(RTNRF-1)","Ridigama-KU0026-13G/835-23-ODU-1(RTNRF-1)"
,
"Barandana-KU0088-13G/835-24-ODU-1(RTNRF-1)","Ridigama-KU0026-13G/835-24-ODU-1(RTNRF-1)"
,
"Henepola_(Mirigama Town Dialog)-GM0185-23G/1562-23-ODU-1(RTNRF-1)","Mirigama Town Dialog_(Henepola)-GM0155-23G/1562-23-ODU-1(RTNRF-1)"
,
"Chunnakam-JA0011-15G/946-23-ODU-1(RTNRF-1)","Keerimalai-JA0082-15G/946-23-ODU-1(RTNRF-1)"
,
"Iranamadu_DTL-KI0035-18G/1445-23-ODU-1(RTNRF-1)","Thirunagar-KI0044-18G/1445-23-ODU-1(RTNRF-1)"
,
"Iranamadu_DTL-KI0035-18G/1445-25-ODU-1(RTNRF-1)","Thirunagar-KI0044-18G/1445-25-ODU-1(RTNRF-1)"
,
"Boralesgamuwa-CM0007-23G/1409-23-ODU-1(RTNRF-1)","Bellanwila-CM0876-23G/1409-23-ODU-1(RTNRF-1)"
,
