"cell_tower_id1","cell_tower_id2","source1_name","source2_name","district1","district2","latitude1","latitude2","longitude1","longitude2","nearest_precip_station","distance","nearest_precip_lat","nearest_precip_long","id_1","id_2"
"GM0452","GM0021","Nedurupitiya-GM0452-26G/1412-23-ODU-1(RTNRF-1)","Kandana_Town-GM0021-26G/1412-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.045556,7.04865,79.89,79.897,434440,0.001144609933793,7.333,80.633,567,2226
"GM0043","GM0140","Seeduwa-GM0043-23G/604-23-ODU-1(RTNRF-1)","Kuswala-GM0140-23G/604-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.14535,7.14745,79.874,79.8945,434500,0.004439705337796,7.181,79.866,568,2227
"GM0043","GM0140","Seeduwa-GM0043-23G/604-24-ODU-1(RTNRF-1)","Kuswala-GM0140-23G/604-24-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.14535,7.14745,79.874,79.8945,434500,0.004439705337796,7.181,79.866,569,2228
"AN0045","AN0011","Nochchiyagama_Town-AN0045-11G/390-23-ODU-1(RTNRF-1)","Thambuttegama-AN0011-11G/390-23-ODU-1(RTNRF-1)","Anuradapura","Anuradapura",8.256944,8.153611,80.198611,80.297778,434220,0.001657946491391,8.117,80.467,570,2229
"AN0045","AN0011","Nochchiyagama_Town-AN0045-11G/390-25-ODU-1(RTNRF-1)","Thambuttegama-AN0011-11G/390-25-ODU-1(RTNRF-1)","Anuradapura","Anuradapura",8.256944,8.153611,80.198611,80.297778,434220,0.001657946491391,8.117,80.467,571,2230
"GM0067","GM0106","Dunagaha-GM0067-15G/631-23-ODU-1(RTNRF-1)","Katukenda-GM0106-15G/631-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.23391,7.28997,79.9743,80.0148,434500,0.000873890441345,7.181,79.866,572,2231
"GM0067","GM0106","Dunagaha-GM0067-15G/631-24-ODU-1(RTNRF-1)","Katukenda-GM0106-15G/631-24-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.23391,7.28997,79.9743,80.0148,434500,0.000873890441345,7.181,79.866,573,2232
"CM0130","CM0559","Borella_YMBA-CM0130-26G/916-23-ODU-1(RTNRF-1)","Horton_Place_West-CM0559-26G/916-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.913333,6.912222,79.877222,79.873889,434660,0.000371448690421,6.9,79.867,574,2233
"CM0130","CM0559","Borella_YMBA-CM0130-26G/916-24-ODU-1(RTNRF-1)","Horton_Place_West-CM0559-26G/916-24-ODU-1(RTNRF-1)","Colombo","Colombo",6.913333,6.912222,79.877222,79.873889,434660,0.000371448690421,6.9,79.867,575,2234
"AN0037","PU0074","Kalaoya-AN0037-18G/1748-23-ODU-1(RTNRF-1)","Saliyawewa-PU0074-18G/1748-23-ODU-1(RTNRF-1)","Anuradapura","Puttlam",8.206667,8.183511,80.110278,80.086442,434240,0.001227764660136,8.033,79.833,576,2235
"GM0634","GM0037","Kimbulapitiya_Airtel-GM0634-18G/1605-23-ODU-1(RTNRF-1)","Katuwapitiya-GM0037-18G/1605-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.20505,7.211111,79.880569,79.854444,434500,0.001474441600472,7.181,79.866,577,2236
"GM0634","GM0037","Kimbulapitiya_Airtel-GM0634-18G/1605-24-ODU-1(RTNRF-1)","Katuwapitiya-GM0037-18G/1605-24-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.20505,7.211111,79.880569,79.854444,434500,0.001474441600472,7.181,79.866,578,2237
"CM0154","CM0318","Meewella_Dialog-CM0154-26G/844-23-ODU-1(RTNRF-1)","Sudharmaramaya_Dialog-CM0318-26G/844-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.884444,6.884444,79.858611,79.862778,434730,0.000389426062483,6.967,80.767,579,2238
"CM0154","CM0318","Meewella_Dialog-CM0154-26G/844-24-ODU-1(RTNRF-1)","Sudharmaramaya_Dialog-CM0318-26G/844-24-ODU-1(RTNRF-1)","Colombo","Colombo",6.884444,6.884444,79.858611,79.862778,434730,0.000389426062483,6.967,80.767,580,2239
"PU0027","PU0139","Puttalam_East-PU0027-7G/687-23-ODU-1(RTNRF-1)","Kalpitiya_SLN-PU0139-7G/687-23-ODU-1(RTNRF-1)","Puttlam","Puttlam",8.030278,8.236111,79.860833,79.766667,434240,0.00033136840575,8.033,79.833,581,2240
"PU0027","PU0139","Puttalam_East-PU0027-7G/687-25-ODU-1(RTNRF-1)","Kalpitiya_SLN-PU0139-7G/687-25-ODU-1(RTNRF-1)","Puttlam","Puttlam",8.030278,8.236111,79.860833,79.766667,434240,0.00033136840575,8.033,79.833,582,2241
"MA0014","MA0025","Periyathampanai-MA0014-15G/595-23-ODU-1(RTNRF-1)","Madu_East-MA0025-15G/595-23-ODU-1(RTNRF-1)","Mannar","Mannar",8.789722,8.844722,80.254444,80.217778,434210,0.001883028772795,8.301,80.428,583,2242
"VA0072","AN0226","Irattaperiyakulam_Dialog-VA0072-18G/1725-23-ODU-1(RTNRF-1)","Iratperiyakulam_South-AN0226-18G/1725-23-ODU-1(RTNRF-1)","Vavnia","Anuradapura",8.69087,8.645278,80.4824,80.472778,434150,6.32407030670805E-05,8.75,80.5,584,2243
"VA0062","VA0072","Arapanagar-VA0062-15G/678-23-ODU-1(RTNRF-1)","Irattaperiyakulama_Dialog-VA0072-15G/678-23-ODU-1(RTNRF-1)","Vavnia","Vavnia",8.762222,8.69087,80.435833,80.4824,434150,0.000693930901683,8.75,80.5,585,2244
