Site ID,Suntel ID,Site Name,Site Address,District,Province,Latitude-x,Longitude-x,Latitude,Longitude
KL0037,,Waskaduwa Pothupitiya Dialog,"Golden Sun Resort, Kudawaskaduwa, Kalutara",Kaluthara,Western,6-37-44,79-56-31,6.628889,79.941944
KA0071,,Watadeniya Dialog,"Rekawalpolahena,Welamboda,Watadeniya.",Kandy,Central,7-11-53,80-32-59,7.19816,80.5497
NU0071,,Watagoda Etisalat [Relocation],"Eti Tower, Wattegodde Estate, Watagoda",NuwaraEliya,Central,6-58-14,80-38-54,6.970556,80.648333
NU0020,,Watagoda SLT,"SLT Tower, Watagoda.",NuwaraEliya,Central,6-58-16,80-39-7,6.971111,80.651944
RA0103,,Watapotha Mobitel,"Watapotha, Nivithigala",Ratnapura,Sabaragamuwa,6-35-40,80-30-34,6.594375,80.509546
KA0123,,Watapuluwa Dialog,"74/A,Bomaluwa Rd,Watapuluwa.Watapuluwa, Kandy",Kandy,Central,7-19-10.6,80-38-26.6,7.319611,80.640722
CM0338,,Watarappola Dialog,"65, Watarappola, Mt. Laviniya",Colombo,Western,6-50-21,79-52-15,6.83911,79.8708
CM0534,,Watareka Hutch,"No-337/1, Somarathna Mawatha, Watareka, Padukka.",Colombo,Western,6-51-19,80-3-58,6.85534,80.0661
NU0024,,Watawala Hutch,"Watawala Plantation PLC, Carolina Estate, Watawala.",NuwaraEliya,Central,6-56-51,80-32-1,6.9475,80.533611
NU0101,WTW/001,Watawala Mobitel,"Zesta Tea Estae, Watawala",NuwaraEliya,Central,6-57-28,80-32-31,6.957778,80.541944
CM0265,,Waters Edge IBS,"316, Ethulkotte Road, Battaramulla",Colombo,Western,6-54-37,79-54-57,6.91036,79.9159
PU0065,,Wathugahamulla Dialog,Wathugahamulla Nattandiya,Puttlam,NorthWestern,7-27-36,79-54-53,7.46,79.914722
GA0084,,Wathugedara Hutch,"T A K De Silva Mawatha, Punchi Kanda, Wathugedara.",Galle,Southern,6-15-41,80-3-26,6.26146,80.0572
GM0107,,Wathupitiwala Dialog,"56, Walpola, Ruggahawela",Gampaha,Western,7-7-32,80-6-45,7.12553,80.1125
GM0695,,Wathupitiwala Zone Mobitel,Mobitel Tower Wathupitiwala.EPZ.,Gampaha,Western,7-7-22.4,80-6-22.3,7.122889,80.106194
GM0229,,Wathurugama Dialog,"""Wijayasiri"", Wathurugama.",Gampaha,Western,7-3-18,80-5-51,7.05504,80.0975
KI0060,,Wattakachchi Mobitel,"Mobitel Tower, 6 SLNG Brigade HQ, Sri Lanka Army, Wattakachchi",Kilinochchi,Northern,9-23-28,80-27-2,9.391111,80.450556
GM0050,,Wattala Dialog,"19, Negombo, Road, Wattala(L.P.Dharmadasa building",Gampaha,Western,6-58-31,79-53-16,6.97527,79.8878
GM0769,,Wattala Dinesh Tower,"153, Negambo Road, Wattala",Gampaha,Western,6-58-46.5,79-53-19,6.979583,79.888611
GM0076,,Wattala North Dialog,"205, Negombo Rd, Wattala",Gampaha,Western,6-58-54,79-53-16,6.98167,79.8878
GM0051,,Wattala Town Dialog,"No.460, Negombo Rd, Wattala",Gampaha,Western,6-59-26,79-53-37,6.99064,79.8935
KA0129,,Wattappola Dialog,"Sindurankanda, Pine Reservation, Kahabe.",Kandy,Central,7-14-28,80-32-39,7.241111,80.544167
KA0037,,Wattegama Dialog,"Frank Land, Wattegama.",Kandy,Central,7-21-8,80-40-53,7.35235,80.6813
CM0431,,Wattegedara Dialog,"No-149, Wattegedara Rd, Maharagama.",Colombo,Western,6-50-50,79-55-1,6.84736,79.9169
CM0570,,Wattegedara Junction Dialog,"No-221, High Level Road, Maharagama.",Colombo,Western,6-51-3,79-55-14,6.8507,79.9206
GA0199,,Waulugala Airtel,kandewattagoda hape imaduwa,Galle,Southern,6-2-20,80-20-46,6.038889,80.346111
KA0139,,Wavinna Dialog,"Udawatta Estate ,Dewatagama Eriyagasthenna Makkanigama",Kandy,Central,7-20-42,80-41-49,7.345,80.696944
GM0152,,Weboda Dialog,"300, Weboda",Gampaha,Western,7-0-55,79-59-42,7.01538,79.9951
GM0235,,Weboda South Dialog,"Udupila Watta, Udupila, Delgoda",Gampaha,Western,6-59-56,80-0-22,6.999,80.0061
RA0059,,Weddagala Dialog,"Raddallana, Weddagala, Kalawana",Ratnapura,Sabaragamuwa,6-27-35,80-25-44,6.45961,80.4288
RA0207,,Weddagala South Etisalat,"Miyanapalawa,Weddagala.",Ratnapura,Sabaragamuwa,6-26-35,80-25-49,6.443056,80.430278
KU0120,,Wedeniya Mobitel,"Henahunwatta,Nawathalwatha.",Kurunegala,NorthWestern,7-17-26,80-10-41.5,7.290556,80.178194
MO0003,,Wedihitikanda Dialog,"Tissa Road, Detagamuwa, Kataragama",Monaragala,Uva,6-23-4,81-19-28,6.384444,81.324444
KL0134,,Weediyagoda Etisalat,"Mahaviharaya, Weediyagoda.",Kaluthara,Western,6-45-4,79-59-21,6.75111,79.9892
AM0083,,Weeragoda Dialog,"No.16/76, Suhadagama, Digamadulla, Weeragoda",Ampara,Eastern,7-24-3,81-41-11,7.400833,81.686389
AM0104,,Weeragoda South Airtel,"No.16/76, Suhadagama, Digamadulla, Weeragoda",Ampara,Eastern,7-22-20,81-42-2,7.37231,81.7006
HA0120,WRK/001,Weeraketiya DBN,Witharndeniya,Hambantota,Southern,6-6-7,80-46-42,6.101944,80.778333
HA0010,,Weeraketiya Dialog,"Kondagala Kanda, Weeraketiya",Hambantota,Southern,6-8-21,80-45-35,6.13911,80.7597
KU0030,,Weerambugedara Dialog,"Weerambugedara, Weerambugedara.",Kurunegala,NorthWestern,7-28-37,80-14-31,7.47685,80.2419
AM0086,,Weeramunai Dialog,"No.301/A, Weeramunai Rd, Sammanthurai 8",Ampara,Eastern,7-22-16,81-47-59,7.37111,81.7997
MR0063,,Weerapana Mobitel,"Nawa Buddhagaya Viharaya,Weerapana,Opatha.",Matara,Southern,6-13-36,80-25-56,6.226667,80.432222
KU0122,,Weerapokuna Dialog,"Vihara Mawatha,Weerapokuna,Bingiriya",Kurunegala,NorthWestern,7-39-2,79-59-10,7.65069,79.986
VA0043,,Weerapuram Dialog,"School road , Weerapuram.",Vavnia,Northern,8-38-3.51,80-22-25.86,8.634308,80.37385
